time;air.T
558000.0;325.1041357500093
558900.0;325.24643698018446
559800.0;325.5206590130316
560700.0;325.66473155626545
561600.0;325.6894186737938
562500.0;325.9046833607725
563400.0;325.9252804642025
564300.0;325.9452879903098
565200.0;326.0269559320746
566100.0;326.06961126513283
567000.0;326.11900213404743
567900.0;326.1926113191115
568800.0;326.2984725799721
569700.0;326.35939970592943
570600.0;326.379332993013
571500.0;326.40978975836794
572400.0;326.45351088217166
573300.0;326.5387289991378
574200.0;326.68389239532524
575100.0;326.8274362731871
576000.0;326.9366594237881
576900.0;327.0083299188577
577800.0;327.09599409203275
578700.0;327.1422525070339
579600.0;327.1679505417046
580500.0;327.1896672110024
581400.0;327.2191596262238
582300.0;327.2601607788043
583200.0;327.30871478103086
584100.0;327.12875930946205
585000.0;326.9950844352736
585900.0;326.8758206422359
586800.0;326.7715023073278
587700.0;326.6803849515203
588600.0;326.59892783782203
589500.0;326.5216195031475
590400.0;326.45115698169565
591300.0;326.3865439175743
592200.0;326.32714255837806
593100.0;326.27251509213585
594000.0;326.2223321696895
594900.0;326.17632031266777
595800.0;326.13080586191626
596700.0;326.08949898405615
597600.0;326.051941782145
598500.0;326.0177628168665
599400.0;325.98663585927795
600300.0;325.95825653341024
601200.0;325.93232920783436
602100.0;325.90855995867395
603000.0;325.88665311724475
603900.0;325.86630965515445
604800.0;325.8438009324897
605700.0;325.8227700366538
606600.0;325.80269006992336
607500.0;325.78312472108166
608400.0;325.76369061635603
609300.0;325.7440361104013
610200.0;325.7204035032153
611100.0;325.6964237969572
612000.0;325.6715711643258
612900.0;325.64542134769755
613800.0;325.61761250842085
614700.0;325.5878232669521
615600.0;325.5557603038006
616500.0;325.5211517635667
617400.0;325.4837438224615
618300.0;325.44329916861335
619200.0;325.3995964099933
620100.0;325.35133082831567
621000.0;325.31158209333466
621900.0;325.27594931007957
622800.0;325.2447529795819
623700.0;325.2198670627586
624600.0;325.1890769275627
625500.0;325.16729163721493
626400.0;325.15264843421824
627300.0;325.1290557850436
